FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"cf5a2714c6d138bf7fa2c9759aef568736c61fa22182d26b61658b3a.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"deddf2a1d7f5f899d1713fabfab175fdb182cdd3f596697b4fb306c0.js",2,2,1,0,0,2,0,-1,-1,0.0,0,0
"d57d242dd12b2a965f294498153a322d9c3bd74bb97de9452f3b4322.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"ea17fc65350c1c8f299ee3f90b9ce644b1719bae534b0227727d8004.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"8a5662206182390685c6e3c01e12f8b2d5f5849528b7ee0e64835382.js",6,5,3,0,3,2,0,-1,-1,0.0,0,0
"0fb0f61feb7d91ce8e4d6a471e24cf5e17fadb05ea6e8e8fecea69ee.js",2,2,0,0,1,1,0,-1,-1,0.0,0,0
"762eb546608aeebff3887688ffd9515d1210b9f944a902b2b9788a68.js",8,6,2,0,3,3,0,-1,-1,0.0,0,0
"9c11799f2983708ad6d03601a42b96576e00144408a3ebb3f5f5b79d.js",7,4,1,0,1,1,2,-1,-1,0.0,0,0
"008c62369ef47d02f00f9d780ed28fd6d08d453cb6b62a3e75482cde.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"74919f3abf1790f6a51b50f6e06bc0e3d696439bfac83836276e8055.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"dcfa076dfbdc9963c019b8a6bcd90c190392d0f8ac534a535cbaf3ae.js",3,2,1,0,0,2,0,-1,-1,0.0,0,0
"5f99c7ef36a22fbf39226558fb51f7c1087cd4ad07f564433c426da5.js",7,6,4,0,2,3,1,-1,-1,0.0,0,0
"90bfac9058de7c8a60d7a8b68033e7d0e1763904492d9b30f9187803.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"58583dec7ac2feb6f1aa14d03953147d9cecf53f802fe1e4aacf0d7e.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"11e1eb2ad53698cc249ef5ff074a8c00a20b46cf2ddd738ed5266f3c.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"1b6ee23ef20219d201c4fc353c1a95f3b8e4212680922ce040e949d7.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"a6f6b3183860f8de2b6919f9ffc28d4be0eff11d8b188be6544c8fba.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"d7e0808cbac164b533c316cef3b877039470f44d493f07a40aa60dc8.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"5d0795a2984d72c24eb944be0db2abbf774c63bdf3d81b543157a48b.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"411e72179e654cd0ae637e81f3d9a272a06a8eb7ad68c59650f6cf21.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"49e29075175ee7fbcc3e52d5cc06e27a6a811170171fb419ea9ae677.js",2,1,0,0,0,1,0,-1,-1,0.0,0,0
"178d416fd869c6dc1f2aca1ee8c1cc0c65a9863eb63d72c92ad2c114.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"aa5e54d088f2b5ce7f7a97775b2261a3c6574a8d6a30a8244d5d364a.js",3,1,0,0,0,1,0,-1,-1,0.0,0,0
"c0ac25959c056b09e7843f27f3bee7bf08e8cb358776a784c7fa92a2.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"9b0ddd0c5618cbf67658901043d743eab68bcf1b087bd25266b13df5.js",2,1,0,0,0,1,0,-1,-1,0.0,0,0
"d52b4f9260385e6af9c8e4ed130335ac6e569cad3e7812a33011ac5e.js",3,1,0,0,0,1,0,-1,-1,0.0,0,0
"fb601432af2de903d86459d9111dbb7d4fb6e892fdc5afff728b79f9.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"1ca737ee5635ba24115e6481a39b50673b45cc5b749f6e1bc7365bfa.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"b8ae95cd6b01a5a04c5aadb78acc13c7f15a7b0cdcdee0c56246a28d.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"8ea961d9102644258e3dcbbdc6f08a699b4ccbd7016d125beaaa67a6.js",2,1,0,0,0,1,0,-1,-1,0.0,0,0
"3e18c1b3d6dad961520f2fe0a57e5a77c8185b602b3a5c94964eb543.js",2,1,0,0,0,1,0,-1,-1,0.0,0,0
"c2fcddf9deb5054a61c83222f98151d523b580b1df9a024e04a36fa6.js",3,2,0,0,1,1,0,-1,-1,0.0,0,0
"f6be399e80cce4871ac31c90969d65c5012e68ad7609030015bbd2c5.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"52e11e2cd7185cc9bd2b31d166133fcc8da2292b934d5fcc38a845ec.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"7482694e4d368922f6a66562d3646eacfcd3d57ceeebddf74bac06bc.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
"191041ca5e88006d7565a1b5e6bf6b2969a84441f5dcbd7c1a1d3215.js",6,5,3,0,2,3,0,-1,-1,0.0,0,0
"8ec2af7e44037398ab3f8ef95b034a5554c800195d14fd2c86de6deb.js",1,1,0,0,0,1,0,-1,-1,0.0,0,0
